search URL:,https://patents.google.com/?q=%28~patent%252fUS20180069262A1%29&q=%28~patent%252fUS11705576B2%29&q=%28~patent%252fUS11258057B2%29&q=%28~patent%252fCN110311168B%29&q=%28~patent%252fCN111344812B%29&q=%28~patent%252fCN111509222A%29&q=%28~patent%252fCN114122503A%29&q=%28~patent%252fGB2039864A%29&oq=%28~patent%252fCN111344812B%29+OR+%28~patent%252fUS11705576B2%29+OR+%28~patent%252fUS11258057B2%29+OR+%28~patent%252fUS20180069262A1%29+OR+%28~patent%252fCN110311168B%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-109942008-B,Solid electrolyte for all-solid-state battery and preparation method thereof ,"现代自动车株式会社, 起亚自动车株式会社","成柱咏, 张容准, 吴必建, 尹龙燮, 林栽敏, 金思钦, 闵泓锡",2017-12-20,2018-11-23,2022-08-05,2022-08-05,https://patents.google.com/patent/CN109942008B/en,https://patentimages.storage.googleapis.com/8b/9b/86/87576893f1beae/HDA0001878292250000011.png
US-11631887-B2,Solid electrolyte ,"Mitsui Mining & Smelting Co., Ltd.","Yuki NAKAYAMA, Tsukasa Takahashi, Takahiro Ito, Norihiko Miyashita",2017-12-28,2018-12-26,2023-04-18,2023-04-18,https://patents.google.com/patent/US11631887B2/en,https://patentimages.storage.googleapis.com/de/66/73/0d585c3edcc9a5/US11631887-20230418-D00000.png
CN-108493479-B,Sulfide solid electrolyte based on oxygen doping and preparation method thereof ,燕山大学,"张隆, 张志霞",2018-04-03,2018-04-03,2020-09-11,2020-09-11,https://patents.google.com/patent/CN108493479B/en,https://patentimages.storage.googleapis.com/53/fe/6b/0aee3b40051bb0/HDA0001616009890000011.png
KR-101826407-B1,"Sulfide solid electrolyte material, battery, and method for producing sulfide solid electrolyte material ",도요타 지도샤（주）,유키 가토,2015-02-25,2016-02-05,2018-02-06,2018-02-06,https://patents.google.com/patent/KR101826407B1/en,https://patentimages.storage.googleapis.com/76/83/f1/e3a987b26ccdfe/112016012860334-pat00004.png
KR-101392689-B1,"Sulfide solid electrolyte material, battery, and method for producing sulfide solid electrolyte material ","도요타지도샤가부시키가이샤, 고쿠리츠다이가쿠호진 토쿄고교 다이가꾸","료지 간노, 마사아키 히라야마, 유키 가토, 코지 가와모토, 시게노리 하마, 타카마사 오토모, 쿠니히로 노부하라",2010-03-26,2011-03-25,2014-05-07,2014-05-07,https://patents.google.com/patent/KR101392689B1/en,https://patentimages.storage.googleapis.com/d6/83/d9/e3efe698de56dd/112012077732407-pct00005.png
CN-111344812-B,Sulfide-based solid electrolyte containing metal element and method for producing same ,出光兴产株式会社,山田拓明,2017-11-14,2018-11-14,2022-07-22,2022-07-22,https://patents.google.com/patent/CN111344812B/en,https://patentimages.storage.googleapis.com/96/73/c0/5ef948c6d633d5/HDA0002488871100000011.png
JP-6044588-B2,"Sulfide solid electrolyte material, battery, and method for producing sulfide solid electrolyte material ",トヨタ自動車株式会社,"祐樹 加藤, 祐樹 加藤, 崇督 大友, 崇督 大友",2014-05-15,2014-05-15,2016-12-14,2016-12-14,https://patents.google.com/patent/JP6044588B2/en,
JP-6370796-B2,Amorphous (lithium) niobium sulfide or (lithium) titanium niobium sulfide ,国立研究開発法人産業技術総合研究所,"敦 作田, 敦 作田, 竹内　友成, 友成 竹内, 昇 田口, 昇 田口, 栄部　比夏里, 比夏里 栄部, 国昭 辰巳, 国昭 辰巳",2013-10-04,2014-09-17,2018-08-08,2018-08-08,https://patents.google.com/patent/JP6370796B2/en,https://patentimages.storage.googleapis.com/a5/3d/4d/d47515645e910f/0006370796-4.png
US-10879558-B2,Materials for solid electrolyte ,Toyota Motor Europe,Yuki KATOH,2015-12-22,2015-12-22,2020-12-29,2020-12-29,https://patents.google.com/patent/US10879558B2/en,https://patentimages.storage.googleapis.com/52/1b/c3/c718a2fb8056e5/US10879558-20201229-D00000.png
KR-101687486-B1,"Sulfide solid electrolyte material, battery, and method for producing sulfide solid electrolyte material ",도요타 지도샤（주）,"유키 가토, 다카마사 오토모",2014-05-15,2015-05-07,2016-12-19,2016-12-19,https://patents.google.com/patent/KR101687486B1/en,https://patentimages.storage.googleapis.com/98/39/ef/76de5351d533a1/112015044001111-pat00003.png
JP-6761024-B2,Solid electrolyte and method for producing solid electrolyte ,出光興産株式会社,"剛士 牧野, 剛士 牧野, 拓明 山田, 拓明 山田",2016-03-14,2017-03-14,2020-09-23,2020-09-23,https://patents.google.com/patent/JP6761024B2/en,
KR-102605002-B1,Sulfide solid electrolyte ,이데미쓰 고산 가부시키가이샤,"후토시 우츠노, 아키코 나카타, 고타 데라이, 마사루 나카가와",2016-11-16,2017-08-08,2023-11-22,2023-11-22,https://patents.google.com/patent/KR102605002B1/en,
US-10811725-B2,Method of producing sulfide solid electrolyte ,Toyota Jidosha Kabushiki Kaisha,"Masahiro Iwasaki, Takuo Yanagi",2016-12-09,2017-10-31,2020-10-20,2020-10-20,https://patents.google.com/patent/US10811725B2/en,https://patentimages.storage.googleapis.com/7a/91/a7/331ec1585951d0/US10811725-20201020-D00000.png
CN-110311168-B,"Sulfide solid electrolyte, preparation method thereof and all-solid-state battery ",浙江锋锂新能源科技有限公司,"黄晓, 许晓雄, 吴林斌",2019-06-19,2019-06-19,2022-02-22,2022-02-22,https://patents.google.com/patent/CN110311168B/en,https://patentimages.storage.googleapis.com/9f/f1/fd/376a2504bb7f84/HDA0002099827940000011.png
KR-101056463-B1,"Lithium Metal Oxide Materials, Synthesis Methods and Uses ",티악스 엘엘씨,"퍼 티. 온너러드, 제이 지 시, 샤론 엘. 달튼-캐스토, 크리스티나 램페-온너러드",2004-05-21,2005-05-19,2011-08-11,2011-08-11,https://patents.google.com/patent/KR101056463B1/en,https://patentimages.storage.googleapis.com/c0/fa/39/697e7aea0c9c8a/112006085796454-pct00001.png
CN-111316378-B,Solid electrolyte material and battery ,松下知识产权经营株式会社,"浅野哲也, 酒井章裕, 境田真志, 西尾勇祐, 宫崎晃畅, 长谷川真也",2018-01-05,2018-12-17,2021-09-28,2021-09-28,https://patents.google.com/patent/CN111316378B/en,https://patentimages.storage.googleapis.com/2b/39/7e/74d01a9f54ebb6/HDA0002475097250000011.png
JP-5701741-B2,Sulfide-based solid electrolyte ,三井金属鉱業株式会社,"宮下　徳彦, 徳彦 宮下",2011-12-28,2011-12-28,2015-04-15,2015-04-15,https://patents.google.com/patent/JP5701741B2/en,https://patentimages.storage.googleapis.com/21/2e/bf/d2207a9f156bac/0005701741-4.png
KR-101723331-B1,"Sulfide solid electrolyte material, sulfide glass, solid-state lithium battery, and method for producing sulfide solid electrolyte material ",도요타 지도샤（주）,"나오키 오사다, 시게노리 하마, 도모야 스즈키",2013-06-28,2014-05-26,2017-04-04,2017-04-04,https://patents.google.com/patent/KR101723331B1/en,https://patentimages.storage.googleapis.com/cc/bc/ed/461beb115e90c2/112015123234083-pct00009.png
JP-7075760-B2,Positive electrode active material for sodium ion secondary batteries ,日本電気硝子株式会社,英郎 山内,2015-10-28,2016-10-20,2022-05-26,2022-05-26,https://patents.google.com/patent/JP7075760B2/en,https://patentimages.storage.googleapis.com/2c/3c/a1/2c9455b5530c93/0007075760000008.png
CN-111492443-B,Solid electrolyte material and battery ,松下知识产权经营株式会社,"酒井章裕, 浅野哲也, 境田真志, 西尾勇祐, 宫崎晃畅, 长谷川真也",2018-01-05,2018-11-13,2022-04-29,2022-04-29,https://patents.google.com/patent/CN111492443B/en,https://patentimages.storage.googleapis.com/c9/8b/2c/2d702ba36e68f7/HDA0002549782210000011.png
JP-5701808-B2,Method for producing sulfide solid electrolyte ,三井金属鉱業株式会社,"宮下　徳彦, 徳彦 宮下",2012-03-30,2012-03-30,2015-04-15,2015-04-15,https://patents.google.com/patent/JP5701808B2/en,
JP-7390692-B2,"Lithium secondary battery solid electrolyte materials, electrodes and batteries ","国聯汽車動力電池研究院有限責任公司, ウェスタンオンタリオ大学","シュエリヤン サン, シャオナ リ, ジャンウェン リャン, チャンゴン ワン, ファン ファン, シーガン ル, リ ジャン, シャンキアン ジャオ",2019-04-29,2019-12-19,2023-12-04,2023-12-04,https://patents.google.com/patent/JP7390692B2/en,https://patentimages.storage.googleapis.com/f3/90/25/25b04443b4a0fc/0007390692000004.png
KR-102254448-B1,"Sulfur-containing compounds, solid electrolytes and batteries ",미쓰이금속광업주식회사,"츠카사 다카하시, 다카히로 이토, 마사루 햐쿠타케, 데루아키 야기",2018-11-08,2019-11-06,2021-05-24,2021-05-24,https://patents.google.com/patent/KR102254448B1/en,https://patentimages.storage.googleapis.com/6d/a3/43/93502e4f141079/112020093912549-pct00003.png
US-10938064-B2,"Sulfide-type compound particles, solid electrolyte, and lithium secondary battery ","Mitsui Mining & Smelting Co., Ltd.","Takahiro Ito, Tsukasa Takahashi, Masaru Hyakutake, Teruaki Yagi",2018-09-04,2019-09-03,2021-03-02,2021-03-02,https://patents.google.com/patent/US10938064B2/en,
US-10355308-B2,"Sulfide solid electrolyte material, battery, and producing method for sulfide solid electrolyte material ",Toyota Jidosha Kabushiki Kaisha,"Ryoji Kanno, Masaaki Hirayama, Yuki KATO, Takamasa Ohtomo, Hisatsugu YAMASAKI",2013-06-07,2014-05-29,2019-07-16,2019-07-16,https://patents.google.com/patent/US10355308B2/en,https://patentimages.storage.googleapis.com/cc/6a/43/9b953560d33f54/US10355308-20190716-D00000.png
JP-5880581-B2,"Sulfide solid electrolyte material, battery, and method for producing sulfide solid electrolyte material ",トヨタ自動車株式会社,"祐樹 加藤, 祐樹 加藤, 崇督 大友, 崇督 大友, 坂野　充, 充 坂野",2012-02-06,2013-02-05,2016-03-09,2016-03-09,https://patents.google.com/patent/JP5880581B2/en,https://patentimages.storage.googleapis.com/7e/1a/27/d736006fdd8b0b/0005880581-5.png
CN-106611871-B,"Solid electrolyte material, method for producing same, solid electrolyte, and battery ",比亚迪股份有限公司,"谢静, 马永军, 易观贵, 郭姿珠",2015-10-23,2015-10-23,2020-11-06,2020-11-06,https://patents.google.com/patent/CN106611871B/en,https://patentimages.storage.googleapis.com/63/f4/e6/02ddc374cbb0f2/HDA0000828498380000011.png
US-11688879-B2,Sulfide-based solid electrolyte particles ,"Mitsui Mining & Smelting Co., Ltd.","Tsukasa Takahashi, Takashi Chikumoto, Takahiro Ito",2018-03-12,2019-03-12,2023-06-27,2023-06-27,https://patents.google.com/patent/US11688879B2/en,https://patentimages.storage.googleapis.com/27/4e/d6/4acc73f239a528/US11688879-20230627-D00000.png
KR-101729091-B1,Crystalline solid electrolyte and production method therefor ,미쓰이금속광업주식회사,"츠토무 히구치, 노리히코 미야시타, 겐지 마츠자키, 다카히로 이토, 겐지 도모나리",2013-07-04,2014-02-28,2017-04-21,2017-04-21,https://patents.google.com/patent/KR101729091B1/en,https://patentimages.storage.googleapis.com/9a/9d/8d/9efff93a186a56/112015097525693-pct00004.png
JP-6234665-B2,Solid electrolyte ,出光興産株式会社,"孝宜 菅原, 孝宜 菅原, 直憲 順毛, 直憲 順毛, 亮 油谷, 亮 油谷, 樋口　弘幸, 弘幸 樋口, 中川　將, 將 中川, 剛 太田, 剛 太田, 美勝 清野, 美勝 清野",2011-11-07,2012-06-29,2017-11-22,2017-11-22,https://patents.google.com/patent/JP6234665B2/en,
KR-101760558-B1,"Sulfide solid electrolyte material, battery, and method for producing sulfide solid electrolyte material ",도요타지도샤가부시키가이샤,"료오지 간노, 마사아키 히라야마, 유우키 가토오, 다카마사 오오토모, 미츠루 사카노",2012-02-06,2013-02-05,2017-07-21,2017-07-21,https://patents.google.com/patent/KR101760558B1/en,https://patentimages.storage.googleapis.com/4f/ad/36/05975ffdb626c4/112014071653720-pct00003.png
US-2019081352-A1,"Solid electrolyte material including sulfide layer and oxide layer, and battery incorporating the solid electrolyte material ","Panasonic Intellectual Property Management Co., Ltd.","Izuru Sasaki, Kazuyoshi Honda",2017-09-08,2018-08-06,2019-03-14,,https://patents.google.com/patent/US20190081352A1/en,https://patentimages.storage.googleapis.com/32/0a/97/0741f307b5cceb/US20190081352A1-20190314-D00000.png
CN-109155412-B,"Positive electrode active material for nonaqueous electrolyte secondary battery, and nonaqueous electrolyte secondary battery ",住友金属矿山株式会社,"猿渡元彬, 渔师一臣",2016-05-16,2017-05-12,2022-05-17,2022-05-17,https://patents.google.com/patent/CN109155412B/en,https://patentimages.storage.googleapis.com/01/05/8f/a2581a4b85865c/HDA0001868850540000011.png
KR-101489608-B1,Sulfide solid electrolyte material and lithium solid state battery ,도요타 지도샤（주）,"다카마사 오토모, 고지 가와모토, 시게노리 하마, 야스시 츠치다, 유키 가토",2010-08-26,2011-07-11,2015-02-03,2015-02-03,https://patents.google.com/patent/KR101489608B1/en,https://patentimages.storage.googleapis.com/28/e3/71/30f26d347d9f19/112013016871944-pct00002.png
JP-6881892-B2,"Manufacturing method of solid electrolyte, all-solid-state battery and solid electrolyte ","三星電子株式会社Ｓａｍｓｕｎｇ Ｅｌｅｃｔｒｏｎｉｃｓ Ｃｏ．，Ｌｔｄ．, 三星電子株式会社","知之 辻村, 知之 辻村, 直毅 鈴木, 直毅 鈴木, 相原　雄一, 雄一 相原",2015-12-25,2015-12-25,2021-06-02,2021-06-02,https://patents.google.com/patent/JP6881892B2/en,https://patentimages.storage.googleapis.com/9f/5a/84/c7630bc4e6d7af/0006881892-2.png
KR-101886003-B1,"Lithium rich antiperovskite compound, electrolyte for lithium secondary battery comprising the same and lithium secondary battery comprising the same ",주식회사 엘지화학,"박세호, 정찬엽, 성다영, 장민철, 박은경, 박창훈",2016-09-30,2017-09-15,2018-08-07,2018-08-07,https://patents.google.com/patent/KR101886003B1/en,https://patentimages.storage.googleapis.com/ec/27/6d/3866a5771f49d4/112017089811111-pat00001.png
CN-109088092-B,Sulfide solid electrolyte material and battery using the same ,松下知识产权经营株式会社,佐佐木出,2017-06-14,2018-06-06,2023-05-30,2023-05-30,https://patents.google.com/patent/CN109088092B/en,https://patentimages.storage.googleapis.com/7d/95/12/dbbf201ee4aea4/HDA0001686201230000011.png
JP-6288716-B2,Method for producing sulfide solid electrolyte material ,"国立大学法人東京工業大学, トヨタ自動車株式会社","了次 菅野, 了次 菅野, 雅章 平山, 雅章 平山, 耕太 鈴木, 耕太 鈴木, 堀　智, 智 堀, 祐樹 加藤, 祐樹 加藤",2014-06-25,2015-03-06,2018-03-07,2018-03-07,https://patents.google.com/patent/JP6288716B2/en,
EP-3745421-A1,Solid electrolyte material and battery ,"Panasonic Intellectual Property Management Co., Ltd.","Masashi SAKAIDA, Tetsuya Asano, Akihiro Sakai, Yusuke Nishio, Akinobu Miyazaki, Shinya Hasegawa",2018-01-26,2018-11-14,2020-12-02,,https://patents.google.com/patent/EP3745421A1/en,https://patentimages.storage.googleapis.com/99/83/08/3d0e4fccc7fbc2/imgf0001.png
JP-5158008-B2,All solid battery ,トヨタ自動車株式会社,"靖 土田, 幸義 上野, 重規 濱, 正人 神谷, 浩 長瀬",2009-04-28,2009-04-28,2013-03-06,2013-03-06,https://patents.google.com/patent/JP5158008B2/en,https://patentimages.storage.googleapis.com/ea/52/1f/d4bb67d105e13c/0005158008-2.png
KR-101667468-B1,"Sulfide solid electrolyte material, battery, and method for producing sulfide solid electrolyte material ","고쿠리츠다이가쿠호진 토쿄고교 다이가꾸, 도요타지도샤가부시키가이샤","료지 간노, 마사아키 히라야마, 유키 가토, 고지 가와모토, 다카마사 오토모",2011-12-22,2012-12-21,2016-10-18,2016-10-18,https://patents.google.com/patent/KR101667468B1/en,https://patentimages.storage.googleapis.com/98/9f/6e/b52dada2d5ab19/112014055941238-pct00001.png
CN-111446492-B,"Sulfide solid electrolyte particles, method for producing same, and all-solid-state battery ",丰田自动车株式会社,南圭一,2019-01-17,2020-01-14,2023-08-01,2023-08-01,https://patents.google.com/patent/CN111446492B/en,
JP-2018152290-A,Method for producing solid electrolyte ,"出光興産株式会社, Idemitsu Kosan Co Ltd","拓明 山田, Hiroaki Yamada, 拓明 山田, 剛士 牧野, Takeshi Makino, 剛士 牧野",2017-03-14,2017-03-14,2018-09-27,,https://patents.google.com/patent/JP2018152290A/en,
CN-114789993-B,Modified sulfur silver germanium mineral solid electrolyte and preparation method and application thereof ,上海屹锂新能源科技有限公司,"张希, 朱金辉, 陈振营",2022-05-05,2022-05-05,2024-01-30,2024-01-30,https://patents.google.com/patent/CN114789993B/en,
CN-113508484-A,Sulfide solid electrolyte ,三井金属矿业株式会社,"高桥司, 筑本崇嗣",2019-09-11,2020-09-03,2021-10-15,,https://patents.google.com/patent/CN113508484A/en,https://patentimages.storage.googleapis.com/eb/6c/11/4bb22e3782b595/HDA0003235527450000011.png
US-2023231183-A1,"Solid electrolyte, electrode mixture and battery ","Mitsui Mining & Smelting Co., Ltd.",Takahiro Ito,2020-06-10,2021-06-07,2023-07-20,,https://patents.google.com/patent/US20230231183A1/en,https://patentimages.storage.googleapis.com/24/ea/14/fd53bd50b555fa/US20230231183A1-20230720-D00000.png
JP-2022542112-A,Lithium ion conductive solid material ,"ビーエーエスエフ ソシエタス・ヨーロピア, ユニバーシティ オブ ウォータールー","ウー，シヤオハン, チョウ，ライトン, ナザール，リンダ, クリシュ，イェルン",2019-07-24,2020-07-21,2022-09-29,,https://patents.google.com/patent/JP2022542112A/en,https://patentimages.storage.googleapis.com/82/7f/4e/3051a68d4dd167/2022542112000003.png
WO-2019135317-A1,Solid electrolyte material and battery ,パナソニックＩｐマネジメント株式会社,"章裕 酒井, 哲也 浅野, 真志 境田, 勇祐 西尾, 晃暢 宮崎, 長谷川　真也",2018-01-05,2018-11-13,2019-07-11,,https://patents.google.com/patent/WO2019135317A1/en,https://patentimages.storage.googleapis.com/83/ae/5f/e3edf2bc826072/JPOXMLDOC01-appb-D000003.png
US-11984555-B2,"Sulfide-based solid electrolyte, method for producing the sulfide-based solid electrolyte, and method for producing all-solid-state battery ",Toyota Jidosha Kabushiki Kaisha,"Naoki Osada, Ayano Kobayashi",2018-05-18,2023-03-17,2024-05-14,2024-05-14,https://patents.google.com/patent/US11984555B2/en,https://patentimages.storage.googleapis.com/ed/12/01/8132451bccae61/US11984555-20240514-D00000.png
EP-3080860-B1,"Lithium ion battery, solid electrolyte and method of preparing the same ",BYD Company Limited,"Guangui YI, Yongjun Ma, Zizhu Guo",2014-03-28,2015-03-26,2020-11-11,2020-11-11,https://patents.google.com/patent/EP3080860B1/en,https://patentimages.storage.googleapis.com/1a/6c/8e/1f6483c515405f/imgf0001.png
KR-102017470-B1,Li-containing silicon oxide powder and its manufacturing method ,오사카 티타늄 테크놀로지스 캄파니 리미티드,"고키 다케시타, 신고 기자키, 유스케 가시타니",2015-08-28,2016-07-27,2019-09-04,2019-09-04,https://patents.google.com/patent/KR102017470B1/en,https://patentimages.storage.googleapis.com/e0/44/d3/2305bacd9c4049/112018011544301-pct00003.png
JP-2017199631-A,"Sulfide solid electrolyte, electrode mixture material, and lithium ion battery ","出光興産株式会社, Idemitsu Kosan Co Ltd","恒太 寺井, Kota Terai, 恒太 寺井, 孝 梅木, Takashi Umeki, 孝 梅木",2016-04-28,2016-04-28,2017-11-02,,https://patents.google.com/patent/JP2017199631A/en,https://patentimages.storage.googleapis.com/0c/85/2f/9641a37876130c/2017199631-4.png
JP-5721540-B2,Lithium ion conductive inorganic material ,株式会社オハラ,"和仁 小笠, 和仁 小笠",2011-05-30,2011-05-30,2015-05-20,2015-05-20,https://patents.google.com/patent/JP5721540B2/en,https://patentimages.storage.googleapis.com/6e/08/b5/f3fab76ac82373/0005721540-9.png
JP-6278433-B2,Lithium-containing garnet crystal and all-solid-state lithium ion secondary battery ,国立研究開発法人産業技術総合研究所,"邦光 片岡, 邦光 片岡, 千佳 高森, 千佳 高森, 晴朗 石崎, 晴朗 石崎, 秋本　順二, 順二 秋本",2016-01-29,2016-12-26,2018-02-14,2018-02-14,https://patents.google.com/patent/JP6278433B2/en,https://patentimages.storage.googleapis.com/89/a3/ae/f9b510c031f632/0006278433-2.png
US-11427477-B2,Solid electrolyte material and battery ,"Panasonic Intellectual Property Management Co., Ltd.","Akihiro Sakai, Tetsuya Asano, Masashi Sakaida, Yusuke Nishio, Akinobu Miyazaki, Shinya Hasegawa",2018-01-05,2020-06-25,2022-08-30,2022-08-30,https://patents.google.com/patent/US11427477B2/en,https://patentimages.storage.googleapis.com/9d/42/e9/3abec4fda16f27/US11427477-20220830-D00000.png
CN-111725560-B,"Compound crystal, preparation method thereof, solid electrolyte material and solid lithium battery ","国联汽车动力电池研究院有限责任公司, 有研稀土新材料股份有限公司","徐国峰, 余金秋, 杨容, 罗亮, 赵尚骞, 余天玮, 段羿, 王建涛",2020-05-31,2020-05-31,2021-11-05,2021-11-05,https://patents.google.com/patent/CN111725560B/en,https://patentimages.storage.googleapis.com/47/80/2f/55cd0f3c50d706/HDA0002517423510000011.png
JP-6077740-B2,Solid electrolyte ,出光興産株式会社,"樋口　弘幸, 弘幸 樋口",2011-12-02,2011-12-02,2017-02-08,2017-02-08,https://patents.google.com/patent/JP6077740B2/en,https://patentimages.storage.googleapis.com/a9/aa/14/5a7ad0f75caf10/0006077740-5.png
JP-5660210-B2,"Solid electrolyte material, solid battery, and method for producing solid electrolyte material ",トヨタ自動車株式会社,"祐樹 加藤, 祐樹 加藤, 重規 濱, 重規 濱, 崇督 大友, 崇督 大友",2011-06-02,2011-06-02,2015-01-28,2015-01-28,https://patents.google.com/patent/JP5660210B2/en,https://patentimages.storage.googleapis.com/78/6a/3b/8ebb5cfac8cd1d/0005660210-2.png
